issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
MCD,T,20,True,16.306416505472612,15.4943,0.057218629243225294,0.24228496506829875,0.23927071033458605
ABBV,KMI,19,True,35.78274375608724,15.4943,0.0580835114514563,0.24356219360861583,0.23408947761654528
AEP,UNH,18,True,26.18744510198876,15.4943,0.05874211531252658,0.24453100468915737,0.23333119198154662
CSCO,KMI,19,True,21.44373617659947,15.4943,0.05980440069152598,0.24608693830462347,0.24005372212837658
CSCO,MCD,19,True,16.386113899017886,15.4943,0.059923961550353066,0.2462615534222412,0.2401099775424123
GS,KMI,19,True,23.752254555795,15.4943,0.06147151195639575,0.24851276172983255,0.25385389796218777
AXP,CL,18,True,16.83876032961269,15.4943,-0.061745104479791486,0.24890906678019142,-0.2553951525570373
CSCO,T,19,True,16.94272294374488,15.4943,0.06325900872830063,0.25109318182186413,0.2559292122927258
KMI,T,19,True,25.706305833265514,15.4943,-0.06329443491281656,0.2511441164204032,-0.2862941413911623
GS,MCD,19,True,16.659477747905882,15.4943,0.06489371630426932,0.2534354825870899,0.24538965289831677
INTC,TGT,19,True,16.301704560150284,15.4943,-0.0663980104849129,0.25557693302871115,-0.2753575885126851
INTC,KMI,19,True,20.926234125495505,15.4943,0.06735410431389686,0.2569313442172447,0.26973355547027217
KO,UPS,20,True,21.127649914478088,15.4943,-0.06807152577209141,0.25794438109595186,-0.2806556390018734
HD,SBUX,19,True,24.61835461134773,15.4943,-0.06979076421641917,0.2603610646474046,-0.28147043404113625
KMI,TMO,19,True,27.8779206171977,15.4943,0.07007658894511982,0.260761385212331,0.2833065117617826
AEP,JNJ,18,True,26.168961097004782,15.4943,0.07017109089455553,0.2608936537270833,0.2865867268004263
MCD,TAP,18,True,19.102722140369053,15.4943,-0.07216812590066682,0.26367870186354464,-0.2858325174888031
AEP,C,18,True,22.49670534406878,15.4943,-0.07347811376701792,0.26549554120988106,-0.29225684569063176
ABBV,AXP,19,True,27.770764774416588,15.4943,-0.07416948776106569,0.26645134666174924,-0.3009397375961988
KO,PG,19,True,21.976041279488506,15.4943,-0.07641205706624804,0.2695377184332536,-0.3061782853393634
CAT,CL,18,True,16.627783951182284,15.4943,-0.08122004777591021,0.2760890092659849,-0.3158725622608829
ABBV,UNH,20,True,16.183622727048622,15.4943,-0.08367819954240518,0.2794073138663878,-0.34148436680636307
ABBV,KO,19,True,17.22987700064242,15.4943,-0.08443244268122149,0.28042162895873796,-0.33961223026890464
TMO,UNH,19,True,47.67688779005218,15.4943,-0.08561915770694048,0.28201405607863905,-0.33855883774657003
JNJ,KMI,19,True,28.023058840581513,15.4943,0.0858413302241817,0.28231172310276076,0.34653498453271747
KMI,VZ,19,True,33.05351649983613,15.4943,0.08758655911784888,0.28464510207035965,0.3494730772280505
MCD,TMO,19,True,18.94999917026115,15.4943,0.09072584571194364,0.28882179451568385,0.36411360728845277
AEP,GS,18,True,16.702246819504474,15.4943,-0.09273995848809777,0.29148866714634597,-0.380504773457851
KO,UNH,20,True,25.90067987549784,15.4943,-0.09375679872404286,0.29283152418100955,-0.3822514090901765
INTC,PEP,19,True,15.791857093547035,15.4943,-0.09397480637696276,0.29311913225254027,-0.40723821619726336
ABBV,MCD,21,True,19.06967308262618,15.4943,-0.09455419996068315,0.2938830032841242,-0.4026347364158675
GS,UNH,19,True,36.55112791862506,15.4943,-0.09475222066655387,0.2941439094140956,-0.38084031840821897
CSCO,UNH,19,True,27.040074355233838,15.4943,-0.09524268294237981,0.29478977393908523,-0.36354114600656773
HD,JNJ,19,True,19.758405941543753,15.4943,0.09825507447618528,0.29874607865890623,0.3924480977195746
HON,KMI,19,True,22.697906535415402,15.4943,-0.10374191063043704,0.3059105669399574,-0.4164904125734956
KMI,MCD,19,True,22.520973139877437,15.4943,0.10468115103335612,0.3071322494851185,0.43034652043395233
INTC,SBUX,19,True,16.525198558425636,15.4943,-0.10492248935828918,0.30744595807303443,-0.43037885083557437
HON,TAP,18,True,18.214035826256698,15.4943,-0.10797831299390516,0.3114113727117329,-0.45382310090379396
T,VZ,20,True,28.45174721361112,15.4943,0.10962628289097912,0.31354504867300526,0.4674137688609002
MSFT,ORCL,20,True,30.99257862991944,15.4943,-0.11068875278510237,0.31491902497525515,-0.5127377073836215
KO,VZ,20,True,18.25986974897364,15.4943,-0.11379743576088219,0.31893246459553404,-0.4725759084179619
PG,TMO,19,True,15.75748638851571,15.4943,0.11458856250872307,0.319952386567579,0.4574891620328681
ABBV,INTC,19,True,18.58398552725135,15.4943,-0.11535678113326775,0.32094225761072137,-0.47034890403850127
HUM,VZ,18,True,20.40278814276148,15.4943,-0.11611851668963183,0.3219232937013248,-0.4913158430028629
HD,KO,20,True,19.897945579594673,15.4943,0.1171639128965889,0.32326891446323347,0.4853578623685874
ABBV,HD,19,True,20.998500433262077,15.4943,-0.11822201452346034,0.324630067744112,-0.47645263067636784
ABBV,T,19,True,21.40267177774315,15.4943,-0.11908722447014933,0.3257425074803023,-0.5069249264113579
MCD,WFC,19,True,15.552981614036286,15.4943,-0.11948204623769054,0.326249984582813,-0.4803813128128801
CL,INTC,18,True,16.959648400377773,15.4943,0.12187985773547982,0.3293299573441336,0.48797989692166344
CL,HON,18,True,16.166867383065764,15.4943,-0.1239812768568727,0.33202671659684696,-0.4987548055866491
AEP,NSC,18,True,25.133589610238957,15.4943,-0.12455728734254229,0.33276556156728976,-0.48951281568996413
PG,UNH,19,True,40.75611146476269,15.4943,-0.12460831016909077,0.3328310015418438,-0.48146335423818687
HUM,ORCL,18,True,21.353997640501753,15.4943,0.12567201289855134,0.334195033291929,0.4753514386777058
CSCO,TAP,18,True,17.26511514747093,15.4943,-0.12895904634453906,0.3384077445313109,-0.5103151409119657
MSFT,VZ,21,True,23.425066747953647,15.4943,-0.1301393651403453,0.33991976903005455,-0.5996015800102413
AXP,KO,19,True,20.285175541184515,15.4943,-0.13178878533501526,0.34203229934379237,-0.5311121132517533
C,ORCL,19,True,24.57154905428931,15.4943,-0.13309907980440738,0.343710231907401,-0.5117951636963104
C,TGT,19,True,21.03203910333047,15.4943,-0.13666090975979284,0.34827097025349174,-0.52161350828167
HD,INTC,19,True,15.99785158091657,15.4943,-0.1367038385154853,0.34832593869466744,-0.5720762175045396
MSFT,PEP,20,True,26.189421125125463,15.4943,-0.13743195294435473,0.3492582736587729,-0.6718421883870003
AEP,PEP,18,True,15.721679717713348,15.4943,-0.1421395597617853,0.3552877527448866,-0.6168362104866346
ORCL,WFC,19,True,17.653048293753777,15.4943,-0.1424686414980514,0.3557093877518477,-0.5743793764359666
AXP,INTC,19,True,17.18763457819011,15.4943,-0.14421001803607636,0.3579409753752921,-0.6147735346690656
SBUX,VZ,19,True,28.7728811313071,15.4943,0.1444377824423546,0.35823291909518024,0.5657774560231773
C,KO,19,True,21.383769701271035,15.4943,-0.14946111131012813,0.36467629573201227,-0.5716627424743256
BA,INTC,19,True,19.323262199163306,15.4943,-0.15059144891595544,0.36612759651056515,-0.6255502641205869
HUM,MCD,18,True,22.351369915210626,15.4943,-0.15102659739345622,0.36668646848307473,-0.5813742882567821
ABBV,UPS,19,True,15.682385776421128,15.4943,-0.1513673181081041,0.36712412965785224,-0.6426406412803054
GS,INTC,19,True,17.82046274018201,15.4943,-0.1527385297337216,0.3688860748064126,-0.6388234930201268
JNJ,T,19,True,24.557794688715536,15.4943,0.15290548942899,0.3691006786145113,0.6140065580548281
GS,JNJ,19,True,17.960412817157263,15.4943,0.15417730888691317,0.37073593752299544,0.6027651618673109
AEP,CL,18,True,25.791192651417838,15.4943,-0.15778533884507512,0.3753803161686295,-0.6346714777424751
HUM,UNH,18,True,22.62389461876913,15.4943,0.15862306904274892,0.37645988890976034,0.6065405154335732
JNJ,PG,19,True,17.49687169269269,15.4943,0.15910511435482255,0.37708131676514284,0.6469977929974273
UNH,UPS,20,True,20.132208100964327,15.4943,-0.1602459372138184,0.3785526721304782,-0.6659698970614649
JNJ,UPS,20,True,26.346646686539263,15.4943,-0.1607123728108606,0.37915452517618675,-0.6827239790012357
C,INTC,19,True,24.896460811760285,15.4943,-0.16225399862572987,0.381144904560393,-0.6248297649727614
AEP,INTC,18,True,24.016344270119323,15.4943,-0.16505627810559256,0.3847677999141988,-0.6486957801141731
ABBV,AEP,18,True,16.110506487661375,15.4943,-0.16566284987436178,0.38555287386151066,-0.676637106130378
C,KMI,19,True,27.42387455317724,15.4943,-0.16692384918467446,0.3871860016931246,-0.6458797428679075
CAT,UNH,19,True,22.90967567363433,15.4943,-0.1677359184101497,0.3882384800164913,-0.6556184075103889
C,HON,19,True,29.194322160439548,15.4943,-0.16961376008031587,0.39067461564442724,-0.6554048258561489
HD,VZ,19,True,17.822069981237462,15.4943,-0.17054264936736063,0.3918809292676319,-0.6926831834029187
C,UNH,19,True,27.68496576963763,15.4943,-0.17073039416065988,0.39212485015395027,-0.6555595403478117
C,NSC,18,True,21.451384418788344,15.4943,-0.17244907500643378,0.39435944460686556,-0.665244563493147
JNJ,UNH,20,True,20.518370725447987,15.4943,-0.17288726185437742,0.3949296532791622,-0.6845533220688252
