issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
AXP,BA,19,False,13.71035928963294,15.4943,,,
AXP,C,19,True,19.25278792716481,15.4943,-0.17320731158470087,0.39534625850286176,-0.6654115072350035
AXP,CAT,19,False,8.948367880603858,15.4943,,,
AXP,CL,18,True,16.83876032961269,15.4943,-0.061745104479791486,0.24890906678019142,-0.2553951525570373
AXP,CSCO,19,False,13.724155894660665,15.4943,,,
AXP,GS,19,True,31.698531286941375,15.4943,-0.28561372767920923,0.5531393285125751,-1.0940436031790863
AXP,HD,19,True,17.577855437375376,15.4943,0.6578020930022157,1.6548770568420268,3.9281618375547094
AXP,HON,19,True,24.446488057221877,15.4943,-0.31507887888217867,0.6001626269814658,-1.3594853316748756
AXP,HUM,18,True,16.588415602806073,15.4943,-0.3848925117964349,0.7259673105176332,-1.6615569099317657
AXP,INTC,19,True,17.18763457819011,15.4943,-0.14421001803607636,0.3579409753752921,-0.6147735346690656
AXP,JNJ,19,False,13.241397997360897,15.4943,,,
AXP,KMI,19,True,34.275934821680956,15.4943,0.043345172301847035,0.22084879439773922,0.17506933720887444
AXP,KO,19,True,20.285175541184515,15.4943,-0.13178878533501526,0.34203229934379237,-0.5311121132517533
AXP,MCD,19,True,29.137221423348954,15.4943,0.04443099183004276,0.22260362420387406,0.17792013989426103
AXP,MSFT,19,True,26.66660058682419,15.4943,-0.2509685041969658,0.5013984571302649,-1.1996607005115132
AXP,NSC,18,True,19.67782319931117,15.4943,-0.4152879841302594,0.7887580117650176,-1.8253611521541253
AXP,ORCL,19,False,8.302811423333743,15.4943,,,
AXP,PEP,19,True,21.87514778476461,15.4943,0.020112206438809954,0.17743757627133397,0.08529315151000039
AXP,PG,19,True,24.453833627588395,15.4943,0.00989115211557029,0.1501581380756048,0.04002931532824872
AXP,SBUX,19,True,24.25555238278493,15.4943,0.025347980402778775,0.18860859234357794,0.10245292665872847
AXP,T,19,True,32.0462994939059,15.4943,0.01738440381302217,0.17105530144586953,0.06982753016887544
